Unnamed: 0,Food id,Food,Expert_Response1,Expert_Response2,Similar Food
0,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Fruit cocktail, canned, heavy syrup"
1,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",1.0,1.0,"Apple juice, canned or bottled, unsweetened"
2,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Plums, canned, heavy syrup"
3,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",1.0,1.0,"Pomegranate juice, bottled"
4,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Peaches, canned, light syrup pack"
5,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Pears, canned, heavy syrup pack"
6,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,SILK Peach soy yogurt
7,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Oil, almond"
8,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Cranberries, dried, sweetened "
9,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Apples, canned, sweetened"
10,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Applesauce, canned, sweetened"
11,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",1.0,1.0,"Pear nectar, canned, without added ascorbic acid"
12,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Peaches, canned, juice pack"
13,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",1.0,1.0,"Peach nectar, canned, with sucralose"
14,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Pears, canned, heavy syrup"
15,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Nance, canned, syrup"
16,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",1.0,1.0,"Apple juice, frozen concentrate, unsweetened"
17,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Pears, canned, light syrup pack"
18,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Peaches, canned, heavy syrup pack"
19,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Pears, canned, juice pack"
20,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Peaches, canned, heavy syrup"
21,http://idea.rpi.edu/heals/kb/usda#09229,"Papaya nectar, canned",0.0,0.0,"Blueberries, dried, sweetened"
22,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",1.0,1.0,"Tangerine juice, raw"
23,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Pineapple, canned, juice pack"
24,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Tangerines, raw"
25,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Oranges, raw, all commercial varieties"
26,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",1.0,1.0,"Lemon juice, raw"
27,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Vinegar, cider"
28,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Mangos, raw"
29,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Milk, buttermilk, fluid"
30,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Abiyuch, raw"
31,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",1.0,1.0,"Orange juice, frozen concentrate, unsweetened"
32,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",1.0,1.0,"Acerola juice, raw"
33,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Tangerines, canned"
34,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",1.0,1.0,"Lime juice, raw"
35,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Water convolvulus, raw"
36,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",1.0,1.0,"Apple juice, frozen concentrate, unsweetened"
37,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",1.0,1.0,"Orange juice, chilled, includes from concentrate"
38,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Lemon peel, raw"
39,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,Vanilla extract
40,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Sapote, mamey, raw"
41,http://idea.rpi.edu/heals/kb/usda#09206,"Orange juice, raw ",0.0,0.0,"Chicken, canned, no broth"
42,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Fruit cocktail, canned, heavy syrup"
43,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Apple juice, canned or bottled, unsweetened"
44,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Plums, canned, heavy syrup"
45,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Plums, canned, purple"
46,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Pears, raw"
47,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Bananas, raw"
48,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Pomegranate juice, bottled"
49,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Papaya nectar, canned"
50,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Peaches, canned, light syrup pack"
51,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Pears, canned, heavy syrup pack"
52,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Rhubarb, raw"
53,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Peaches, yellow, raw"
54,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Cranberries, dried, sweetened "
55,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Milk, chocolate, fluid"
56,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Dates, medjool"
57,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Pear nectar, canned, without added ascorbic acid"
58,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Celery, raw"
59,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Peaches, canned, juice pack"
60,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",0.0,0.0,"Peach nectar, canned, with sucralose"
61,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Blueberries, raw"
62,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Pears, canned, heavy syrup"
63,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,,"Applesauce, canned, unsweetened"
64,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Pears, canned, light syrup pack"
65,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Peaches, canned, heavy syrup pack"
66,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Pears, canned, juice pack"
67,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Peaches, canned, heavy syrup"
68,http://idea.rpi.edu/heals/kb/usda#09008,"Apples, canned, sweetened",1.0,1.0,"Blueberries, dried, sweetened"
69,http://idea.rpi.edu/heals/kb/usda#04529,"Oil, almond",1.0,1.0,"Oil, peanut, salad or cooking"
70,http://idea.rpi.edu/heals/kb/usda#04529,"Oil, almond",1.0,1.0,"Oil, sunflower, linoleic"
71,http://idea.rpi.edu/heals/kb/usda#04529,"Oil, almond",0.0,0.0,"Wheat flour, whole-grain "
72,http://idea.rpi.edu/heals/kb/usda#04529,"Oil, almond",1.0,1.0,"Oil, cottonseed, salad or cooking"
73,http://idea.rpi.edu/heals/kb/usda#04529,"Oil, almond",0.0,0.0,"Milk, dry, whole"
74,http://idea.rpi.edu/heals/kb/usda#04529,"Oil, almond",1.0,1.0,"Oil, wheat germ"
